Input,Calm
0,1
0.1,0.9
0.2,0.8
0.3,0.7
0.4,0.6
0.5,0.5
0.6,0.42
0.7,0.34
0.8,0.26
0.9,0.18
1,0.1
0.935481011,0.135339817
0.797921804,0.259143104
0.753061278,0.299517577
0.273640767,0.730996037
0.735182656,0.315608336
0.169418347,0.824796215
0.32854781,0.681579698
0.863053267,0.200524787
0.678312536,0.366791445
0.304540168,0.703186576
0.17345614,0.821162201
0.945177571,0.126612914
0.109459726,0.878758974
0.514693497,0.51404858
0.609766488,0.428482888
0.104026842,0.88364857
0.043078038,0.938502493
0.520840679,0.508516116
0.73308679,0.317494616
0.855791146,0.207060696
0.424425122,0.595290118
0.54282134,0.488733521
0.907219354,0.160775309
0.439071233,0.582108617
0.090591559,0.895740324
0.940841819,0.13051509
0.015846811,0.963010597
0.064011054,0.919662779
0.556223368,0.476671696
0.994915335,0.081848925
0.830959135,0.229409505
0.803731307,0.253914551
0.794043818,0.262633291
0.796285405,0.260615863
0.768844316,0.285312843
0.225507108,0.77431633
0.049054355,0.933123808
0.668199486,0.37589319
0.337186938,0.673804483
0.199379201,0.797831446
0.158741695,0.834405202
0.54005472,0.491223479
0.99663524,0.080301011
0.439787696,0.581463801
0.136755841,0.854192471
0.200543532,0.796783549
0.912577244,0.155953208
0.703315908,0.34428841
0.774979365,0.279791299
0.581638929,0.453797691
0.560618868,0.472715746
0.893910556,0.172753227
0.489872239,0.536387712
0.844681748,0.217059154
0.143028515,0.848547064
0.34883032,0.663325439
7.46E-05,0.977205572
0.377830511,0.637225268
0.113081639,0.875499252
0.735757717,0.315090782
0.131708858,0.858734755
0.287489154,0.718532489
0.793897424,0.262765046
0.122641822,0.866895088
0.009541154,0.968685688
0.944710985,0.127032841
0.756306111,0.296597227
0.759403043,0.293809989
0.473949289,0.550718367
0.935043284,0.135733772
0.675128828,0.369656782
0.23944859,0.761768996
0.259265314,0.743933945
0.903651138,0.163986703
0.682858939,0.362699683
0.699167454,0.348022019
0.415692727,0.603149273
0.211246004,0.787151323
0.468451182,0.555666663
0.41305761,0.605520878
0.281060913,0.724317905
0.284653605,0.721084483
0.458136003,0.564950325
0.691923966,0.354541158
0.710949238,0.337418413
